"UniversityName","FinancialAid","Tuition","AdmissionRate","ApplicationFee"
"Aaniiih Nakoda College","","2380 in-state and 2380 out-of-state ","","10"
"Abilene Christian University","24361","34850 in-state and 34850 out-of-state ","58","50"
"Abraham Baldwin Agricultural College","","4128 in-state and 12550 out-of-state ","","20"
"Academy College","9320","17661 in-state and 17661 out-of-state ","","40"
"Academy of Art University","10984","27810 in-state and 27810 out-of-state ","100","50"
"Adams State University","13775","9440 in-state and 20456 out-of-state ","99","30"
"Adelphi University","21500","38660 in-state and 38660 out-of-state ","73","40"
"Adirondack Community College","","5375 in-state and 9935 out-of-state ","97","35"
"Adrian College","26870","37087 in-state and 37087 out-of-state ","60","0"
"Advanced Technology Institute","","13680 in-state and 13680 out-of-state ","","45"
"Agnes Scott College","36505","41160 in-state and 41160 out-of-state ","66","0"
"Aiken Technical College","","5160 in-state and 8010 out-of-state ","","0"
"Aims Community College","7357","2281 in-state and 13018 out-of-state ","100","0"
"Alabama State University","16694","11068 in-state and 19396 out-of-state ","98","25"
"Alamance Community College","","2310 in-state and 8070 out-of-state ","","0"
"Alaska Bible College","","9300 in-state and 9300 out-of-state ","","35"
"Alaska Pacific University","","20830 in-state and 20830 out-of-state ","86","25"
"Albany College of Pharmacy and Health Sciences","","35105 in-state and 35105 out-of-state ","79","75"
"Albany State University","4838","6726 in-state and 19802 out-of-state ","97","25"
"Albany Technical College","","3246 in-state and 5916 out-of-state ","","25"
"Albertus Magnus College","27993","32060 in-state and 32060 out-of-state ","64","35"
"Albion College","44414","45775 in-state and 45775 out-of-state ","71","0"
"Albright College","41714","45306 in-state and 45306 out-of-state ","50","35"
"Alcorn State University","7581","7144 in-state and 7144 out-of-state ","40","0"
"Alderson-Broaddus University","23507","27910 in-state and 27910 out-of-state ","41","0"
"Alexandria Technical and Community College","","5416 in-state and 5416 out-of-state ","","20"
"Alfred University","31102","33484 in-state and 33484 out-of-state ","63","50"
"Alice Lloyd College","","2050 in-state and 2050 out-of-state ","","0"
"Allan Hancock College","","1418 in-state and 7898 out-of-state ","","0"
"Allegany College of Maryland","","4140 in-state and 9210 out-of-state ","","0"
"Allegheny College","42666","47540 in-state and 47540 out-of-state ","68","0"
"Allegheny Wesleyan College","","6400 in-state and 6400 out-of-state ","","0"
"Allen County Community College","","3150 in-state and 3150 out-of-state ","","0"
"Allen University","","13340 in-state and 13340 out-of-state ","","0"
"Alliant International University","","18000 in-state and 18000 out-of-state ","","65"
"Alpena Community College","","4530 in-state and 6840 out-of-state ","","0"
"Alvernia University","","34885 in-state and 34885 out-of-state ","71","0"
"Alverno College","26594","28302 in-state and 28302 out-of-state ","78","0"
"Alvin Community College","","1998 in-state and 4818 out-of-state ","","0"
"Amberton University","","12840 in-state and 12840 out-of-state ","","0"
"American Academy McAllister Institute of Funeral Service","","17160 in-state and 17160 out-of-state ","77","50"
"American Academy of Art","","34100 in-state and 34100 out-of-state ","33","25"
"American Academy of Dramatic Arts","","35160 in-state and 35160 out-of-state ","","50"
"American Baptist College","","10950 in-state and 10950 out-of-state ","","30"
"American Career College","","","79","0"
"American College of California","","","64","70"
"American Health Science University","","","87","0"
"American Indian College of the Assemblies of God","","958 in-state and 958 out-of-state ","","0"
"American InterContinental University",""," in-state  out-of-state ","","0"
"American International College","28385","35680 in-state and 35680 out-of-state ","72","0"
"American Jewish University","","","","35"
"American National University: Salem","","14460 in-state and 14460 out-of-state ","","50"
"American Public University System","7920","8150 in-state and 8150 out-of-state ","","0"
"American River College","","1416 in-state and 9546 out-of-state ","","0"
"American Sentinel University",""," in-state  out-of-state ","","0"
"American University","38374","48459 in-state and 48459 out-of-state ","29","70"
"American University of Puerto Rico","","6946 in-state and 6946 out-of-state ","","25"
"Amherst College","53209","56426 in-state and 56426 out-of-state ","13","65"
"Amridge University","5416","6900 in-state and 6900 out-of-state ","","50"
"Ancilla College","","17330 in-state and 17330 out-of-state ","69","0"
"Anderson University","15910","28000 in-state and 28000 out-of-state ","79","25"
"Andrew College","26457","17388 in-state and 17388 out-of-state ","","20"
"Andrews University","29011","29288 in-state and 29288 out-of-state ","39","30"
"Angelina College","","2625 in-state and 5535 out-of-state ","100","0"
"Angelo State University","10757","8489 in-state and 20939 out-of-state ","74","35"
"Anna Maria College","","37860 in-state and 37860 out-of-state ","79","25"
"Anne Arundel Community College","","4110 in-state and 12180 out-of-state ","100","0"
"Anoka Technical College","","5584 in-state and 5584 out-of-state ","","0"
"Anoka-Ramsey Community College","","5073 in-state and 5073 out-of-state ","","0"
"Antelope Valley College","","1420 in-state and 9760 out-of-state ","","0"
"Antioch College","24310","35718 in-state and 35718 out-of-state ","97","0"
"Antioch University Midwest","","16210 in-state and 16210 out-of-state ","","45"
"Antioch University Santa Barbara","0","22575 in-state and 22575 out-of-state ","","60"
"Antonelli College: Cincinnati",""," in-state  out-of-state ","","35"
"Antonelli College: Hattiesburg",""," in-state  out-of-state ","","50"
"Antonelli College: Jackson",""," in-state  out-of-state ","","0"
"Antonelli Institute of Art and Photography","","20920 in-state and 20920 out-of-state ","","50"
"Appalachian State University","9886","7214 in-state and 22021 out-of-state ","70","65"
"Aquinas College","","23600 in-state and 23600 out-of-state ","","0"
"Arapahoe Community College","","4811 in-state and 18671 out-of-state ","100","0"
"Arcadia University","30074","43580 in-state and 43580 out-of-state ","62","30"
"Argosy University: Los Angeles",""," in-state  out-of-state ","","50"
"Argosy University: Sarasota",""," in-state  out-of-state ","","50"
"Argosy University: Washington D.C.",""," in-state  out-of-state ","","50"
"Arizona Christian University","16008","26796 in-state and 26796 out-of-state ","","30"
"Arizona State University","16638","10822 in-state and 28336 out-of-state ","84","50"
"Arizona Western College","","2520 in-state and 9510 out-of-state ","","0"
"Arkansas Baptist College","","8760 in-state and 8760 out-of-state ","","25"
"Arkansas Northeastern College","","2450 in-state and 4250 out-of-state ","","0"
"Arkansas State University Mid-South","","3274 in-state and 5014 out-of-state ","100","0"
"Arkansas State University: Beebe","","3600 in-state and 5760 out-of-state ","","0"
"Arkansas State University: Mountain Home","","2856 in-state and 4464 out-of-state ","","0"
"Arkansas State University: Newport","","3480 in-state and 5310 out-of-state ","","0"
"Arkansas Tech University","9235","9068 in-state and 15848 out-of-state ","95","0"
"Arlington Baptist University","5192","13190 in-state and 13190 out-of-state ","49","25"
"Armstrong State University","12831","6384 in-state and 19866 out-of-state ","78","30"
"Art Academy of Cincinnati","","33889 in-state and 33889 out-of-state ","","0"
"Art Center College of Design","","43416 in-state and 43416 out-of-state ","","50"
"Art Institute of Atlanta",""," in-state  out-of-state ","","50"
"Art Institute of California: San Francisco",""," in-state  out-of-state ","","50"
"Art Institute of Cincinnati","","16834 in-state and 16834 out-of-state ","","100"
"Art Institute of Houston","","24024 in-state and 24024 out-of-state ","","0"
"Art Institute of Las Vegas",""," in-state  out-of-state ","","50"
"Art Institute of Philadelphia","","14850 in-state and 14850 out-of-state ","","50"
"Art Institute of Pittsburgh","","23376 in-state and 23376 out-of-state ","","50"
"Art Institute of Seattle",""," in-state  out-of-state ","","50"
"Art Institutes International Minnesota",""," in-state  out-of-state ","","50"
"ASA College","","14065 in-state and 14065 out-of-state ","","25"
"Asbury University","24093","30198 in-state and 30198 out-of-state ","70","0"
"Asheville-Buncombe Technical Community College","","2354 in-state and 8114 out-of-state ","","0"
"Ashford University","","12160 in-state and 12160 out-of-state ","","0"
"Ashland Community and Technical College","","","","0"
"Ashland University","18686","21342 in-state and 21342 out-of-state ","74","0"
"Ashworth College","","1399 in-state and 1399 out-of-state ","","0"
"Asnuntuck Community College","","4404 in-state and 13170 out-of-state ","100","20"
"Aspen University",""," in-state  out-of-state ","","0"
"Assumption College","28121","40958 in-state and 40958 out-of-state ","79","50"
"Athens State University","","6810 in-state and 12870 out-of-state ","","30"
"Athens Technical College","","3292 in-state and 5962 out-of-state ","","25"
"Atlanta English Institute","","","","50"
"Atlanta Metropolitan State College","","4008 in-state and 12088 out-of-state ","","20"
"Atlanta Technical College","5377","3350 in-state and 6020 out-of-state ","","25"
"Atlantic Cape Community College","","5096 in-state and 8096 out-of-state ","","35"
"Atlantic University College","","4525 in-state and 4525 out-of-state ","","30"
"Auburn University at Montgomery","8229","10288 in-state and 22048 out-of-state ","83","0"
"Augsburg University","32783","38800 in-state and 38800 out-of-state ","45","0"
"Augusta Technical College","","3494 in-state and 6164 out-of-state ","","25"
"Augusta University","","10758 in-state and 29796 out-of-state ","","50"
"Augustana College","32193","42135 in-state and 42135 out-of-state ","59","0"
"Augustana University","27792","33018 in-state and 33018 out-of-state ","68","0"
"Aultman College of Nursing and Health Sciences","","18510 in-state and 18510 out-of-state ","88","45"
"Aurora University","22277","24260 in-state and 24260 out-of-state ","87","0"
"Austin College","35402","39985 in-state and 39985 out-of-state ","52","0"
"Austin Community College","","2550 in-state and 13020 out-of-state ","","0"
"Austin Graduate School of Theology","","11900 in-state and 11900 out-of-state ","","25"
"Austin Peay State University","11204","8411 in-state and 24467 out-of-state ","90","25"
"Ave Maria University","18407","20850 in-state and 20850 out-of-state ","","0"
"Averett University","26770","34400 in-state and 34400 out-of-state ","62","0"
"Avila University","","","39","25"
